Dataset,TaggedPitchType,PitcherThrows,RelSpeed_Mean,RelSpeed_Median,RelSpeed_Std,SpinRate_Mean,SpinRate_Median,SpinRate_Std,IVB_Mean,IVB_Median,IVB_Std,HB_Mean,HB_Median,HB_Std,Extension_Mean,Extension_Median,Extension_Std,RelHeight_Mean,RelHeight_Median,RelHeight_Std,VAA_Mean,VAA_Median,VAA_Std,HAA_Mean,HAA_Median,HAA_Std
ACC,FourSeamFastBall,Right,92.46143597938146,92.575342,2.3786843672769233,2331.2322085685564,2330.2269156,170.38954415182778,18.044664932989694,18.975413000000003,4.226840435250805,12.611587030927835,12.3635655,4.216398198243753,6.000228556701031,5.97242,0.5443516363996329,5.851912005154641,5.9181865,0.5043675446597021,-4.298410012371134,-4.1580436999999995,0.8157516985376766,-0.06848877938144317,0.023420300000000033,0.9758889109786257
ACC,FourSeamFastBall,Left,90.72816194117647,90.738115,2.439720033604803,2252.0403258305887,2245.4011796,165.21711368023875,18.06659374117647,18.58922,3.9549806791068938,-7.526055729411765,-8.339334000000001,4.865393166645908,6.097561094117647,5.983935000000001,0.5488155289420518,5.811787682352941,5.824687,0.5669471746651993,-4.281508609411765,-4.2265843,0.9552625658825579,2.0071054164705884,2.1160621,1.0683162508878437
ACC,TwoSeamFastBall,Right,90.84286308139535,91.2446135,2.921567743306097,2240.3855983476747,2229.54364745,173.210133251204,11.171804953488373,11.600587,3.7242748213383203,16.338758848837212,17.70818,7.008861762164066,5.880834174418605,5.8976869999999995,0.5364427835801228,5.428036988372092,5.6317710000000005,0.729214639780033,-5.088691427906977,-5.00752135,1.0334229477373813,0.13548203837209308,0.16900800000000002,1.1423001934307557
ACC,TwoSeamFastBall,Left,89.92096717391304,90.3899375,4.232494329887942,2208.638523319565,2215.07458005,137.1043503685676,11.501886043478263,11.454455,3.9187771717980877,-12.344688499999998,-13.694791500000001,6.035654704468964,5.967074717391304,5.967131500000001,0.5058408402000043,5.586317978260871,5.592354,0.5727758700605207,-5.2547847760869555,-5.0340244499999995,1.21968059432224,1.7004350195652171,1.5938239,1.3338229024681565
ACC,Splitter,Right,84.18213467164179,83.876988,3.384197977923808,1665.0496931955224,1501.8493441,555.0063040045122,7.991396880597017,8.279271,5.820700712098601,9.048113746268656,11.018336,7.870616598787848,5.825942074626866,5.87613,0.5600127928803779,5.807656164179105,5.8408,0.3956691333331235,-6.619060928358209,-6.568512,1.0476410444489572,-0.24794477910447757,0.150104,1.8666845194305488
ACC,Splitter,Left,82.83314308695654,82.481099,2.28516603984102,1634.9655906434784,1401.4765489,567.8014588777927,7.621708913043481,8.394452000000001,5.844134902034845,-3.0491544782608693,-3.88119,5.855441451124029,5.93974143478261,6.008484,0.4722988728659212,5.580366739130435,5.6064940000000005,0.4694822416801039,-6.659157013043478,-6.698434000000001,1.1175830937703604,2.2045243826086955,2.2789805,1.5501653628129288
ACC,Sweeper,Right,82.3094227142857,82.17662899999999,3.4507672657038073,2556.517935164285,2519.6497546,242.0362780763148,2.2764362857142855,1.7393535000000004,3.9254634580775374,-9.409794785714286,-11.465838,8.328370530306927,5.826081571428572,5.6942260000000005,0.5044710410541372,5.4499915,5.536733999999999,0.5010115338733301,-6.699968685714285,-6.742786649999999,1.1981645127029472,-2.924359821428571,-2.5447935499999996,1.271407274355528
ACC,Sweeper,Left,79.670652,79.1050415,3.7085237066404604,2482.762889766667,2408.98279645,142.01480388386187,5.4797183333333335,6.1595955,2.4767595746749866,13.529909166666668,14.670078999999998,5.167377240069002,5.5514746666666674,5.521375,0.25277559086712115,5.346662333333334,5.321073999999999,0.32260298359524775,-6.800233166666666,-6.573525399999999,0.6865521706594496,4.9725304,5.2305345,0.8717063168461134
ACC,Knuckleball,Right,80.78571200000002,80.98143,5.189771734570288,2318.0482706913053,2368.377872,351.9031799430758,1.2333256956521743,-0.5125219999999991,6.113832712483215,-5.4964952608695645,-8.57414,10.163177514118617,5.606247391304348,5.68144,0.38413644508234185,5.507541869565217,5.59494,0.5524795109545223,-7.3396293043478265,-7.733921,1.1488491551261761,-2.7802414,-2.939222,1.7126694068898838
ACC,Knuckleball,Left,80.60787733333332,79.58973499999999,2.36440425165422,2273.3439141666668,2332.0295334,523.2609707894978,1.4199623333333335,0.4892500000000001,4.997540641615389,-0.19608133333333408,5.5316315000000005,14.15103154317545,5.485527,5.278611,0.6886197060601251,5.338495333333333,5.47391,0.34049714716654467,-7.5563959999999994,-7.2845845,1.0191993077366568,1.7510841499999996,1.8876784,1.5386088897039816
